user_id,hotel_name,rating_norm,price_norm,near_station,restaurant,entertain,shopping_mall,convenience_store,star,district,destination,rating,price
,128 Bangkok,2.6,0.04345556,0.139240506,0.253164557,0.240506329,0.189873418,0.17721519,No preference,Bangkok,0,8,2000
,128 Bangkok,2.6,0.04345556,0.139240506,0.253164557,0.240506329,0.189873418,0.17721519,No preference,Bangkok,0,8,2000
,130 Hotel & Residence Bangkok,4.2,0.052948855,0.132075472,0.377358491,0.132075472,0.056603774,0.301886792,4,Bangkok,0,9,2400
,130 Hotel & Residence Bangkok,4.2,0.024468969,0.132075472,0.377358491,0.132075472,0.056603774,0.301886792,4,Bangkok,0,9,2400
,130 Hotel & Residence Bangkok,4.2,0.024468969,0.132075472,0.377358491,0.132075472,0.056603774,0.301886792,4,Bangkok,0,9,2400
,130 Hotel & Residence Bangkok,4.2,0.052948855,0.132075472,0.377358491,0.132075472,0.056603774,0.301886792,4,Bangkok,0,9,2400
,14 Residence,2.6,0.017348997,0.115384615,0.730769231,0,0,0.153846154,3,Bangkok,0,8,900
,14 Residence,2.6,0.017348997,0.115384615,0.730769231,0,0,0.153846154,3,Bangkok,0,8,900
,14 Resort,2.6,0.029215616,0.210526316,0.526315789,0.026315789,0.157894737,0.078947368,3,Bangkok,0,8,1400
,1989 Hostel & Cafe,4.2,0.100510265,0.066666667,0.266666667,0.253333333,0.146666667,0.266666667,No preference,Khlong Toei, Bangkok,9,4404
,1989 Hostel & Cafe,4.2,0.100510265,0.066666667,0.266666667,0.253333333,0.146666667,0.266666667,No preference,Khlong Toei, Bangkok,9,4404
,1sabai,4.2,0.002159725,0.113636364,0.454545455,0,0.272727273,0.159090909,No preference,Wattana, Bangkok,9,260
,1sabai,4.2,0.040132906,0.113636364,0.454545455,0,0.272727273,0.159090909,No preference,Wattana, Bangkok,9,260
,1sabai,4.2,0.040132906,0.113636364,0.454545455,0,0.272727273,0.159090909,No preference,Wattana, Bangkok,9,260
,2W Bed & Breakfast Bangkok,4.2,0.019722321,0.294117647,0.294117647,0.132352941,0.117647059,0.161764706,No preference,Bangkok,0,9,1000
