hotel_name,near_station,restaurant,entertain,shopping_mall,convenience_store
14 Residence,0.115384615,0.730769231,0,0,0.153846154
Riverfront Residence,0.193548387,0.64516129,0,0.129032258,0.032258065
Lily Residence Executive Serviced Apartment,0.150943396,0.377358491,0.018867925,0.132075472,0.320754717
The Choice Residence,0.272727273,0.318181818,0.136363636,0.045454545,0.227272727
Golden Pearl Hotel,0.195121951,0.487804878,0.024390244,0.073170732,0.219512195
Blackfish Guest House,0.279069767,0.465116279,0.023255814,0.093023256,0.139534884
The Mayfair @ Sukhumvit 64,0.258064516,0.64516129,0,0,0.096774194
Olive Residence,0.289473684,0.526315789,0,0.052631579,0.131578947
Montien Riverside Hotel,0.363636364,0.606060606,0.03030303,0,0
The Vertical Suite,0.15625,0.3125,0.109375,0.3125,0.109375
Studio 62,0,0.75,0.083333333,0.083333333,0.083333333
THE NARA-RAM 3 SUITE Boutique Service Apartment,0.075,0.5,0.1,0.15,0.175
Rest 3,0.157894737,0.526315789,0.026315789,0.157894737,0.131578947
Chan Cha La 99 Hostel,0.186046512,0.465116279,0.023255814,0.069767442,0.255813953
Viva Garden Serviced Residence,0.162790698,0.465116279,0.046511628,0.069767442,0.255813953
Chateau de Sukhumvit,0,0.777777778,0.111111111,0.055555556,0.055555556
Hostel 24,0.159090909,0.454545455,0.068181818,0.068181818,0.25
The Narathiwas Hotel & Residence Sathorn Bangkok,0.159090909,0.454545455,0.045454545,0.25,0.090909091
Siamese Nanglinchee,0.256410256,0.512820513,0.102564103,0.051282051,0.076923077
Ibis Styles Bangkok Sukhumvit 50,0,0.666666667,0.333333333,0,0
Chatrium Residence Sathon Bangkok,0.333333333,0.416666667,0,0.166666667,0.083333333
Kama Bangkok,0,0.555555556,0.111111111,0.111111111,0.222222222
Anantara Riverside Bangkok Resort,0.282051282,0.512820513,0.102564103,0.076923077,0.025641026
W Home Bangkok,0.260869565,0.434782609,0.065217391,0.043478261,0.195652174
Hide Bangkok Hostel,0.128205128,0.512820513,0.076923077,0.128205128,0.153846154
Luck Bird Inn,0.277777778,0.37037037,0.111111111,0.037037037,0.203703704
First Inn On Nut,0.234042553,0.425531915,0.021276596,0.170212766,0.14893617
Ramada Plaza Bangkok Menam Riverside,0.245614035,0.350877193,0.122807018,0.157894737,0.122807018
Wealth 30th,0.064516129,0.64516129,0.064516129,0.064516129,0.161290323
The Bedrooms Boutique Hotel Bangkok,0.259259259,0.37037037,0.018518519,0.166666667,0.185185185
Jaunt Hostel & Gallery,0.191489362,0.425531915,0.021276596,0.14893617,0.212765957
Klassique Sukhumvit,0.196078431,0.392156863,0.039215686,0.117647059,0.254901961
Trica Hostel,0.177777778,0.444444444,0.044444444,0.111111111,0.222222222
Home stay Rainbow Micky House,0,0.739130435,0,0.130434783,0.130434783
Chatrium Hotel Riverside Bangkok,0.326530612,0.408163265,0.020408163,0.020408163,0.224489796
14 Resort,0.210526316,0.526315789,0.026315789,0.157894737,0.078947368
ZEN Rooms Boss Prakanong,0.327868852,0.327868852,0.131147541,0.06557377,0.147540984
HASU HAUS By Favstay,0.068965517,0.689655172,0,0.103448276,0.137931034
Moumou Hostel,0.202898551,0.289855072,0.130434783,0.115942029,0.260869565
Bangkok Feliz Sukumvit69,0.243589744,0.256410256,0.128205128,0.115384615,0.256410256
Jasmine Resort Bangkok,0.232876712,0.273972603,0.136986301,0.164383562,0.191780822
The Local Surasak Hostel,0.243902439,0.487804878,0.073170732,0.073170732,0.12195122
U Sukhumvit Bangkok,0.225352113,0.281690141,0.126760563,0.169014085,0.197183099
Anantara Sathorn Bangkok Hotel,0.333333333,0.37037037,0.092592593,0.018518519,0.185185185
Oaks Bangkok Sathorn,0.339285714,0.357142857,0.089285714,0.017857143,0.196428571
Sathorn Heritage Residences,0.298245614,0.350877193,0.087719298,0.087719298,0.175438596
Baan Pra Nond Bed & Breakfast,0.225,0.5,0.075,0.075,0.125
Mybed Sathorn,0.222222222,0.555555556,0.027777778,0,0.194444444
Astera Sathorn,0.264150943,0.377358491,0.075471698,0.132075472,0.150943396
Bangkok Hub,0.307692308,0.384615385,0.019230769,0.134615385,0.153846154
Parvena Hotel,0.222222222,0.555555556,0.027777778,0,0.194444444
Naga Residence,0.260869565,0.434782609,0.02173913,0.108695652,0.173913043
The Sathon Vimanda Hotel,0.243243243,0.540540541,0.027027027,0,0.189189189
The Myth - Sud Sathorn,0.254545455,0.363636364,0.072727273,0.127272727,0.181818182
38 Mansion,0.166666667,0.555555556,0,0.194444444,0.083333333
