user_id,hotel_name,rating_norm,price_norm,near_station,restaurant,entertain,shopping_mall,convenience_store,star,district,destination,rating,price
,5footway.inn Project Ann Siang,4,0.008646241,0.191919192,0.202020202,0.202020202,0.202020202,0.202020202,2,Chinatown, Singapore,8,878
,5footway.inn Project Ann Siang,4,0.008646241,0.191919192,0.202020202,0.202020202,0.202020202,0.202020202,2,Chinatown, Singapore,8,878
,5footway.inn Project Boat Quay,3,0.042985573,0.2,0.2,0.2,0.2,0.2,1,Boat Quay, Singapore,7,2975
,5footway.inn Project Boat Quay,3,0.045392765,0.2,0.2,0.2,0.2,0.2,1,Boat Quay, Singapore,7,2975
,5footway.inn Project Boat Quay,3,0.007041446,0.2,0.2,0.2,0.2,0.2,1,Boat Quay, Singapore,7,2975
,5footway.inn Project Boat Quay,3,0.042985573,0.2,0.2,0.2,0.2,0.2,1,Boat Quay, Singapore,7,2975
,5footway.inn Project Boat Quay,3,0.045392765,0.2,0.2,0.2,0.2,0.2,1,Boat Quay, Singapore,7,2975
,5footway.inn Project Boat Quay,3,0.007041446,0.2,0.2,0.2,0.2,0.2,1,Boat Quay, Singapore,7,2975
,5footway.inn Project Chinatown 1,3,0.006239049,0.2,0.2,0.2,0.2,0.2,1,Chinatown, Singapore,7,731
,5footway.inn Project Chinatown 1,3,0.042952822,0.2,0.2,0.2,0.2,0.2,1,Chinatown, Singapore,7,731
,5footway.inn Project Chinatown 1,3,0.006239049,0.2,0.2,0.2,0.2,0.2,1,Chinatown, Singapore,7,731
,5footway.inn Project Chinatown 2,3,0.042985573,0.2,0.2,0.2,0.2,0.2,1,Chinatown, Singapore,7,2975
,60s hostel,4,0.059688539,0.321428571,0.357142857,0.125,0.071428571,0.125,1,Lavender, Singapore,8,3995
,60s hostel,4,0.059688539,0.321428571,0.357142857,0.125,0.071428571,0.125,1,Lavender, Singapore,8,3995
,7 Wonders Boutique Capsule,4,0.121014623,0.188405797,0.289855072,0.15942029,0.15942029,0.202898551,2,Lavender, Singapore,8,7740
,7 Wonders Boutique Capsule,4,0.005764161,0.188405797,0.289855072,0.15942029,0.15942029,0.202898551,2,Lavender, Singapore,8,7740
,7 Wonders Boutique Capsule,4,0.121014623,0.188405797,0.289855072,0.15942029,0.15942029,0.202898551,2,Lavender, Singapore,8,7740
,85 Beach Garden Hotel,3,0.027183258,0.2,0.2,0.2,0.2,0.2,2,Singapore,0,7,2010
,85 Beach Garden Hotel,3,0.025955098,0.2,0.2,0.2,0.2,0.2,2,Singapore,0,7,2010
,85 Beach Garden Hotel,3,0.025955098,0.2,0.2,0.2,0.2,0.2,2,Singapore,0,7,2010
,85 Beach Garden Hotel,3,0.025955098,0.2,0.2,0.2,0.2,0.2,2,Singapore,0,7,2010
