hotel_name,near_station,restaurant,entertain,shopping_mall,convenience_store
Sofitel Singapore Sentosa Resort & Spa,0.444444444,0.555555556,0,0,0
W Singapore - Sentosa Cove,0.083333333,0.833333333,0,0.041666667,0.041666667
The Club Residences by Capella Singapore,0.346153846,0.576923077,0,0,0.076923077
Amara Sanctuary Resort Sentosa,0.2,0.666666667,0,0,0.133333333
"Siloso Beach Resort, Sentosa",0.043478261,0.869565217,0,0.043478261,0.043478261
Resorts World Sentosa - Festive Hotel,0.108108108,0.540540541,0.081081081,0.135135135,0.135135135
Shangri-La's Rasa Sentosa Resort & Spa,0.125,0.875,0,0,0
Resorts World Sentosa - Beach Villas,0.125,0.8125,0,0.0625,0
Bay Hotel Singapore,0.166666667,0.416666667,0.145833333,0.1875,0.083333333
Fragrance Hotel - Royal,0.421052632,0.263157895,0,0.105263158,0.210526316
Fragrance Hotel - Viva,0.421052632,0.263157895,0,0.105263158,0.210526316
Harbour Ville Hotel,0.541666667,0.291666667,0,0,0.166666667
ZEN Rooms Bukit Merah,0.541666667,0.291666667,0,0,0.166666667
Amara Singapore,0.23255814,0.23255814,0.220930233,0.127906977,0.186046512
Carlton City Hotel Singapore,0.222222222,0.222222222,0.222222222,0.122222222,0.211111111
Dorsett Singapore,0.253164557,0.253164557,0.253164557,0.113924051,0.126582278
Hotel 81 Cosy,0.215053763,0.215053763,0.215053763,0.150537634,0.204301075
So Sofitel Singapore,0.213333333,0.266666667,0.106666667,0.173333333,0.24
Park 22 Hotel Chinatown,0.195876289,0.206185567,0.206185567,0.18556701,0.206185567
Box Capsule Hostel,0.191919192,0.202020202,0.202020202,0.202020202,0.202020202
Hotel 1929,0.191919192,0.202020202,0.202020202,0.202020202,0.202020202
5footway.inn Project Ann Siang,0.191919192,0.202020202,0.202020202,0.202020202,0.202020202
Ascott Raffles Place Singapore,0.217948718,0.256410256,0.102564103,0.179487179,0.243589744
Royal Hostel Singapore,0.183673469,0.204081633,0.204081633,0.204081633,0.204081633
Santa Grand Hotel Lai Chun Yuen,0.183673469,0.204081633,0.204081633,0.204081633,0.204081633
ZEN Rooms Temple Street,0.2,0.2,0.2,0.2,0.2
Burrow Hostel @ Smith,0.175257732,0.206185567,0.206185567,0.206185567,0.206185567
Jinshan Hotel,0.2,0.2,0.2,0.2,0.2
5footway.inn Project Chinatown 2,0.2,0.2,0.2,0.2,0.2
5footway.inn Project Chinatown 1,0.2,0.2,0.2,0.2,0.2
AMOY by Far East Hospitality,0.166666667,0.208333333,0.208333333,0.208333333,0.208333333
The Inn at Temple Street,0.191919192,0.202020202,0.202020202,0.202020202,0.202020202
The Southbridge Hotel,0.2,0.2,0.2,0.2,0.2
Hotel 81 Osaka,0.205128205,0.512820513,0.025641026,0.051282051,0.205128205
Beds and Dreams Inn @ Chinatown 1,0.191919192,0.202020202,0.202020202,0.202020202,0.202020202
Marina Bay Sands,0.151515152,0.606060606,0.060606061,0.060606061,0.121212121
Beary Best! by a beary good hostel,0.191919192,0.202020202,0.202020202,0.202020202,0.202020202
Maple Lodge @ Chinatown,0.191919192,0.202020202,0.202020202,0.202020202,0.202020202
The Bohemian Chic,0.191919192,0.202020202,0.202020202,0.202020202,0.202020202
The Fullerton Bay Hotel Singapore,0.163636364,0.363636364,0.127272727,0.109090909,0.236363636
ZEN Rooms People's Park Complex,0.191919192,0.202020202,0.202020202,0.202020202,0.202020202
Porcelain Hotel by JL Asia,0.191919192,0.202020202,0.202020202,0.202020202,0.202020202
Bliss Hotel Singapore,0.157894737,0.210526316,0.210526316,0.210526316,0.210526316
Hotel 81 Chinatown,0.157894737,0.210526316,0.210526316,0.210526316,0.210526316
COO Boutique Hostel,0.204545455,0.454545455,0.113636364,0.068181818,0.159090909
New Cape Inn,0.224489796,0.408163265,0.102040816,0.102040816,0.163265306
Parkroyal on Pickering,0.191919192,0.202020202,0.202020202,0.202020202,0.202020202
The Fullerton Hotel Singapore,0.117647059,0.294117647,0.279411765,0.088235294,0.220588235
Furama City Centre,0.175257732,0.206185567,0.206185567,0.206185567,0.206185567
Hotel Bencoolen @ Hong Kong Street,0.2,0.2,0.2,0.2,0.2
Park Hotel Alexandra,0.288888889,0.444444444,0,0.111111111,0.155555556
Hotel Clover 5 HongKong Street,0.2,0.2,0.2,0.2,0.2
Hotel Clover 7,0.2,0.2,0.2,0.2,0.2
Blissful Loft,0.2,0.2,0.2,0.2,0.2
River City Inn,0.2,0.2,0.2,0.2,0.2
City Backpackers @ Hongkong Street,0.2,0.2,0.2,0.2,0.2
Quarters Hostel,0.2,0.2,0.2,0.2,0.2
Fragrance Hotel - Riverside,0.2,0.2,0.2,0.2,0.2
Jayleen 1918,0.202020202,0.202020202,0.202020202,0.202020202,0.191919192
ZEN Rooms Clarke Quay,0.204081633,0.204081633,0.204081633,0.193877551,0.193877551
Furama RiverFront,0.307692308,0.384615385,0.096153846,0.115384615,0.096153846
Village Residence Clarke Quay by Far East Hospitality,0.2,0.210526316,0.210526316,0.210526316,0.168421053
Hotel Conforto,0.2,0.2,0.2,0.2,0.2
5footway.inn Project Boat Quay,0.2,0.2,0.2,0.2,0.2
Copthorne King's Hotel,0.3,0.4,0.1,0.12,0.08
Swissotel Merchant Court Singapore,0.208333333,0.208333333,0.208333333,0.208333333,0.166666667
