user_id,hotel_name,rating,price,near_station,restaurant,entertain,shopping_mall,convenience_store,star,district,destination,rating,price
,ANA InterContinental Tokyo,3.4,0.294580085,0.160714286,0.357142857,0.053571429,0.071428571,0.357142857,5,Minato, Tokyo,8,18435
,ANA InterContinental Tokyo,3.4,0.294580085,0.160714286,0.357142857,0.053571429,0.071428571,0.357142857,5,Minato, Tokyo,8,18435
,APA Hotel - Higashishinjuku Kabukicho Higashi,3.4,0.039589808,0.1125,0.25,0.25,0.1375,0.25,3,Shinjuku Ward, Tokyo,8,3093
,APA Hotel - Higashishinjuku Kabukicho Higashi,3.4,0.101284757,0.1125,0.25,0.25,0.1375,0.25,3,Shinjuku Ward, Tokyo,8,3093
,APA Hotel - Higashishinjuku Kabukicho Higashi,3.4,0.101284757,0.1125,0.25,0.25,0.1375,0.25,3,Shinjuku Ward, Tokyo,8,3093
,APA Hotel Akihabara-Ekimae,3.4,0.034454103,0.058823529,0.235294118,0.235294118,0.235294118,0.235294118,3,Chiyoda, Tokyo,8,2784
,APA Hotel Akihabara-Ekimae,3.4,0.039589808,0.058823529,0.235294118,0.235294118,0.235294118,0.235294118,3,Chiyoda, Tokyo,8,2784
,APA Hotel Akihabara-Ekimae,3.4,0.090996726,0.058823529,0.235294118,0.235294118,0.235294118,0.235294118,3,Chiyoda, Tokyo,8,2784
,APA Hotel Asakusa Kuramae,3.4,0.024166071,0.235294118,0.392156863,0.019607843,0.039215686,0.31372549,3,Taito, Tokyo,8,2165
,APA Hotel Asakusa Kuramae,3.4,0.070437283,0.235294118,0.392156863,0.019607843,0.039215686,0.31372549,3,Taito, Tokyo,8,2165
,APA Hotel Asakusabashi-Ekikita,3.4,0.080725315,0.106382979,0.425531915,0.14893617,0.021276596,0.29787234,3,Taito, Tokyo,8,5568
,APA Hotel Asakusabashi-Ekikita,3.4,0.070437283,0.106382979,0.425531915,0.14893617,0.021276596,0.29787234,3,Taito, Tokyo,8,5568
,APA Hotel Ginza Kyobashi,3.4,0.101284757,0.153846154,0.256410256,0.141025641,0.192307692,0.256410256,3,Chuo Ward, Tokyo,8,6805
,APA Hotel Ginza Kyobashi,3.4,0.039589808,0.153846154,0.256410256,0.141025641,0.192307692,0.256410256,3,Chuo Ward, Tokyo,8,6805
,APA Hotel Ginza-Takaracho,3.4,0.037013645,0.139240506,0.253164557,0.126582278,0.227848101,0.253164557,3,Chuo Ward, Tokyo,8,2938
,APA Hotel Ginza-Takaracho,3.4,0.093572889,0.139240506,0.253164557,0.126582278,0.227848101,0.253164557,3,Chuo Ward, Tokyo,8,2938
,APA Hotel Ginza-Takaracho,3.4,0.093572889,0.139240506,0.253164557,0.126582278,0.227848101,0.253164557,3,Chuo Ward, Tokyo,8,2938
,APA Hotel Ginza-Takaracho,3.4,0.044725514,0.139240506,0.253164557,0.126582278,0.227848101,0.253164557,3,Chuo Ward, Tokyo,8,2938
,APA Hotel Ginza-Takaracho,3.4,0.101284757,0.139240506,0.253164557,0.126582278,0.227848101,0.253164557,3,Chuo Ward, Tokyo,8,2938
,APA Hotel Hanzomon Hirakawacho,3.4,0.065301577,0.166666667,0.37037037,0.055555556,0.037037037,0.37037037,3,Chiyoda, Tokyo,8,4640
,APA Hotel Hanzomon Hirakawacho,3.4,0.065301577,0.166666667,0.37037037,0.055555556,0.037037037,0.37037037,3,Chiyoda, Tokyo,8,4640
,APA Hotel Hanzomon Hirakawacho,3.4,0.021606528,0.166666667,0.37037037,0.055555556,0.037037037,0.37037037,3,Chiyoda, Tokyo,8,4640
,APA Hotel Hanzomon Hirakawacho,3.4,0.021606528,0.166666667,0.37037037,0.055555556,0.037037037,0.37037037,3,Chiyoda, Tokyo,8,4640
,APA Hotel Hatchobori-eki Minami,3.4,0.070437283,0.276923077,0.307692308,0.061538462,0.046153846,0.307692308,3,Chuo Ward, Tokyo,8,4949
,APA Hotel Higashi Shinjuku Kabukicho,3.4,0.034454103,0.1125,0.25,0.25,0.1375,0.25,3,Shinjuku Ward, Tokyo,8,2784
,APA Hotel Higashi Shinjuku Kabukicho,3.4,0.039589808,0.1125,0.25,0.25,0.1375,0.25,3,Shinjuku Ward, Tokyo,8,2784
,APA Hotel Higashi Shinjuku Kabukicho,3.4,0.090996726,0.1125,0.25,0.25,0.1375,0.25,3,Shinjuku Ward, Tokyo,8,2784
,APA Hotel Iidabashi Ekimae,3.4,0.070437283,0.096153846,0.384615385,0.076923077,0.057692308,0.384615385,3,Chiyoda, Tokyo,8,4949
,APA Hotel Iidabashi Ekimae,3.4,0.070437283,0.096153846,0.384615385,0.076923077,0.057692308,0.384615385,3,Chiyoda, Tokyo,8,4949
,APA Hotel Kanda Jimbocho Ekihigashi,3.4,0.070437283,0.158730159,0.317460317,0.111111111,0.095238095,0.317460317,3,Chiyoda, Tokyo,8,4949
,APA Hotel Kanda Jimbocho Ekihigashi,3.4,0.024166071,0.158730159,0.317460317,0.111111111,0.095238095,0.317460317,3,Chiyoda, Tokyo,8,4949
,APA Hotel Kanda Jimbocho Ekihigashi,3.4,0.024166071,0.158730159,0.317460317,0.111111111,0.095238095,0.317460317,3,Chiyoda, Tokyo,8,4949
,APA Hotel Kanda Jimbocho Ekihigashi,3.4,0.065301577,0.158730159,0.317460317,0.111111111,0.095238095,0.317460317,3,Chiyoda, Tokyo,8,4949
,APA Hotel Keikyu Kamata-Ekimae,3.4,0.024166071,0.16,0.266666667,0.266666667,0.04,0.266666667,3,Ota Ward, Tokyo,8,2165
,APA Hotel Keisei Ueno Ekimae,3.4,0.1218442,0.166666667,0.208333333,0.208333333,0.208333333,0.208333333,3,Taito, Tokyo,8,8042
,APA Hotel Keisei Ueno Ekimae,3.4,0.055013546,0.166666667,0.208333333,0.208333333,0.208333333,0.208333333,3,Taito, Tokyo,8,8042
,APA Hotel Keisei Ueno Ekimae,3.4,0.111556169,0.166666667,0.208333333,0.208333333,0.208333333,0.208333333,3,Taito, Tokyo,8,8042
,APA Hotel Keisei Ueno Ekimae,3.4,0.044725514,0.166666667,0.208333333,0.208333333,0.208333333,0.208333333,3,Taito, Tokyo,8,8042
,APA Hotel Keisei Ueno Ekimae,3.4,0.055013546,0.166666667,0.208333333,0.208333333,0.208333333,0.208333333,3,Taito, Tokyo,8,8042
,APA Hotel Keisei Ueno Ekimae,3.4,0.044725514,0.166666667,0.208333333,0.208333333,0.208333333,0.208333333,3,Taito, Tokyo,8,8042
,APA Hotel Kodemmacho-ekimae,3.4,0.029301777,0.290322581,0.322580645,0.048387097,0.016129032,0.322580645,3,Chuo Ward, Tokyo,8,2474
,APA Hotel Kodemmacho-ekimae,3.4,0.034454103,0.290322581,0.322580645,0.048387097,0.016129032,0.322580645,3,Chuo Ward, Tokyo,8,2474
,APA Hotel Kodemmacho-ekimae,3.4,0.075572989,0.290322581,0.322580645,0.048387097,0.016129032,0.322580645,3,Chuo Ward, Tokyo,8,2474
,APA Hotel Kodemmacho-ekimae,3.4,0.029301777,0.290322581,0.322580645,0.048387097,0.016129032,0.322580645,3,Chuo Ward, Tokyo,8,2474
,APA Hotel Kodemmacho-ekimae,3.4,0.034454103,0.290322581,0.322580645,0.048387097,0.016129032,0.322580645,3,Chuo Ward, Tokyo,8,2474
,APA Hotel Nihombashi Hamacho-eki Minami,3.4,0.096149052,0.25,0.555555556,0,0.027777778,0.166666667,3,Chuo Ward, Tokyo,8,6496
,APA Hotel Nihombashi Hamacho-eki Minami,3.4,0.023650838,0.25,0.555555556,0,0.027777778,0.166666667,3,Chuo Ward, Tokyo,8,6496
,APA Hotel Nihombashi Hamacho-eki Minami,3.4,0.079694849,0.25,0.555555556,0,0.027777778,0.166666667,3,Chuo Ward, Tokyo,8,6496
,APA Hotel Nihombashi Hamacho-eki Minami,3.4,0.023650838,0.25,0.555555556,0,0.027777778,0.166666667,3,Chuo Ward, Tokyo,8,6496
,APA Hotel Nihombashi Hamacho-eki Minami,3.4,0.096149052,0.25,0.555555556,0,0.027777778,0.166666667,3,Chuo Ward, Tokyo,8,6496
,APA Hotel Nihombashi Hamacho-eki Minami,3.4,0.079694849,0.25,0.555555556,0,0.027777778,0.166666667,3,Chuo Ward, Tokyo,8,6496
