hotel_name,near_station,restaurant,entertain,shopping_mall,convenience_store
Dormy Inn Akihabara,0.036144578,0.240963855,0.240963855,0.240963855,0.240963855
APA Hotel Ueno-Ekimae,0.042553191,0.425531915,0.021276596,0.085106383,0.425531915
Capsule and Sauna Rosco,0.047619048,0.476190476,0.119047619,0.047619048,0.30952381
FLEXSTAY INN Higashi Jujo,0.048780488,0.487804878,0.073170732,0.048780488,0.341463415
FLEXSTAY INN Sugamo,0.052631579,0.350877193,0.192982456,0.070175439,0.333333333
Hotel Villa Fontaine Tokyo-Otemachi,0.057971014,0.289855072,0.289855072,0.072463768,0.289855072
1/3rd Residence Serviced Apartments Nihonbashi,0.058823529,0.235294118,0.235294118,0.235294118,0.235294118
APA Hotel Akihabara-Ekimae,0.058823529,0.235294118,0.235294118,0.235294118,0.235294118
Akihabara Hotel 3000,0.071428571,0.285714286,0.285714286,0.071428571,0.285714286
Belle Via Tokyo,0.075,0.5,0.025,0.025,0.375
Tokyu Stay Gotanda,0.075757576,0.303030303,0.303030303,0.045454545,0.272727273
HOTEL MYSTAYS Ueno East,0.076923077,0.384615385,0.096153846,0.057692308,0.384615385
HOTEL MYSTAYS Ueno Iriyaguchi,0.076923077,0.384615385,0.096153846,0.057692308,0.384615385
The CALM Hotel Tokyo (Adult Only),0.076923077,0.307692308,0.307692308,0.046153846,0.261538462
Tokyo Central Youth Hostel,0.076923077,0.307692308,0.2,0.107692308,0.307692308
Hikarihouse,0.078947368,0.263157895,0.263157895,0.131578947,0.263157895
Hotel Ohedo,0.078947368,0.263157895,0.263157895,0.131578947,0.263157895
Hotel Mid In Meguro Ekimae,0.079365079,0.317460317,0.238095238,0.047619048,0.317460317
Hotel Edoya,0.08,0.266666667,0.266666667,0.12,0.266666667
Hotel Route-Inn Gotanda,0.081081081,0.540540541,0,0.054054054,0.324324324
Nishitetsu Inn Kamata,0.085714286,0.285714286,0.285714286,0.057142857,0.285714286
Urbain Tokyo Haneda Kamata,0.085714286,0.285714286,0.285714286,0.057142857,0.285714286
HOTEL MYSTAYS Ueno Inaricho,0.088888889,0.444444444,0.022222222,0.177777778,0.266666667
Shibuya Creston Hotel,0.091954023,0.229885057,0.229885057,0.218390805,0.229885057
Meguro Gajoen,0.09375,0.3125,0.25,0.046875,0.296875
Hotel Lungwood,0.096153846,0.384615385,0.230769231,0.019230769,0.269230769
APA Hotel Tokyo Kudanshita,0.098039216,0.392156863,0.078431373,0.039215686,0.392156863
Hotel Vista Kamata Tokyo,0.098591549,0.281690141,0.281690141,0.056338028,0.281690141
HOTEL & SPA J-MEX Shinjuku Kabukicho (Adult Only),0.098765432,0.24691358,0.24691358,0.160493827,0.24691358
Hotel Grand Fresa Akasaka,0.1,0.285714286,0.285714286,0.042857143,0.285714286
HOTEL MYSTAYS Gotanda Station,0.1,0.285714286,0.285714286,0.042857143,0.285714286
Sutton Place Hotel Ueno,0.1,0.333333333,0.116666667,0.116666667,0.333333333
Toyoko Inn Tokyo Tozai-Sen Nishi-kasai,0.1,0.333333333,0.2,0.033333333,0.333333333
Akihabara Washington Hotel,0.101123596,0.224719101,0.224719101,0.224719101,0.224719101
Business Hotel Yamashiro,0.101123596,0.224719101,0.224719101,0.224719101,0.224719101
HOTEL MYSTAYS Higashi Ikebukuro,0.101449275,0.289855072,0.144927536,0.188405797,0.275362319
the b Akasaka,0.101449275,0.289855072,0.289855072,0.028985507,0.289855072
Hotel Grand Palace,0.102040816,0.408163265,0.040816327,0.040816327,0.408163265
Hotel New Star Ikebukuro,0.102564103,0.256410256,0.256410256,0.128205128,0.256410256
House Ikebukuro,0.103896104,0.25974026,0.25974026,0.116883117,0.25974026
Tokyu Stay Ikebukuro,0.104651163,0.23255814,0.23255814,0.197674419,0.23255814
Annex Katsutaro Ryokan,0.105263158,0.526315789,0.078947368,0.026315789,0.263157895
HOTEL MYSTAYS Asakusa bashi,0.105263158,0.350877193,0.192982456,0,0.350877193
APA Hotel Asakusabashi-Ekikita,0.106382979,0.425531915,0.14893617,0.021276596,0.29787234
Hotel Business Villa Omori,0.106382979,0.425531915,0.021276596,0.021276596,0.425531915
Toyoko Inn Tokyo Akiba Asakusabashi-eki Higashi-guchi,0.106382979,0.425531915,0.14893617,0.021276596,0.29787234
Hotel Listel Shinjuku,0.106666667,0.266666667,0.266666667,0.093333333,0.266666667
the b tokyo ochanomizu,0.106666667,0.266666667,0.24,0.12,0.266666667
Tokyo Guest House Itabashi-juku,0.108108108,0.540540541,0.054054054,0.027027027,0.27027027
Tokyu Stay Aoyama Premier,0.109090909,0.363636364,0.090909091,0.163636364,0.272727273
Good Diner Inn Copain,0.109375,0.3125,0.1875,0.125,0.265625
Khaosan World Asakusa Hostel,0.109589041,0.273972603,0.164383562,0.232876712,0.219178082
Khaosan World Asakusa Ryokan,0.109589041,0.273972603,0.164383562,0.232876712,0.219178082
J Residence Shinjuku,0.109756098,0.243902439,0.243902439,0.158536585,0.243902439
APA Hotel Tokyo Itabashi,0.111111111,0.444444444,0.111111111,0,0.333333333
Guest House Denchi,0.111111111,0.277777778,0.152777778,0.222222222,0.236111111
Hotel Monterey Akasaka,0.111111111,0.277777778,0.277777778,0.055555556,0.277777778
HOTEL MYSTAYS Nippori,0.111111111,0.37037037,0.222222222,0.037037037,0.259259259
Keio Presso Inn Akasaka,0.111111111,0.277777778,0.277777778,0.055555556,0.277777778
Tokyo Banyan Hotel,0.111111111,0.317460317,0.158730159,0.095238095,0.317460317
Web Hotel Tokyo Asakusabashi,0.111111111,0.37037037,0.148148148,0.018518519,0.351851852
APA Hotel - Higashishinjuku Kabukicho Higashi,0.1125,0.25,0.25,0.1375,0.25
APA Hotel Higashi Shinjuku Kabukicho,0.1125,0.25,0.25,0.1375,0.25
Ryokan Sansuiso,0.112676056,0.281690141,0.281690141,0.042253521,0.281690141
Asakusa View Hotel,0.114285714,0.285714286,0.157142857,0.228571429,0.214285714
Hotel Edoyado (Adult Only),0.115384615,0.256410256,0.166666667,0.256410256,0.205128205
Holiday View Inn,0.115942029,0.289855072,0.231884058,0.072463768,0.289855072
Base Inn Komagome Tokyo,0.11627907,0.465116279,0.11627907,0,0.302325581
Asakusa Ryokan Toukaisou,0.116883117,0.25974026,0.155844156,0.246753247,0.220779221
Hotel Sunroute Higashi Shinjuku,0.116883117,0.25974026,0.25974026,0.103896104,0.25974026
Tokyu Stay Yotsuya,0.12,0.4,0.16,0.02,0.3
APA Hotel Shinjuku-Kabukicho Tower,0.120879121,0.21978022,0.21978022,0.21978022,0.21978022
Super Hotel Shinjuku Kabukicho,0.120879121,0.21978022,0.21978022,0.21978022,0.21978022
Ueno First City Hotel,0.120879121,0.21978022,0.21978022,0.21978022,0.21978022
Hotel Keihan Asakusa,0.121621622,0.27027027,0.175675676,0.243243243,0.189189189
Hotel Grand Arc Hanzomon,0.12195122,0.487804878,0.073170732,0.024390244,0.292682927
Tokyu Stay Monzen-Nakacho,0.123076923,0.307692308,0.307692308,0,0.261538462
Grand Park Hotel Panex Tokyo,0.123287671,0.273972603,0.273972603,0.054794521,0.273972603
Hotel the M Innsomnia Akasaka,0.123287671,0.273972603,0.273972603,0.054794521,0.273972603
Ochanomizu St. HILLS HOTEL,0.123287671,0.273972603,0.191780822,0.136986301,0.273972603
Hotel Monterey Hanzomon,0.125,0.5,0.05,0.025,0.3
Sotetsu Fresa Inn Ochanomizu Jimbocho,0.125,0.357142857,0.071428571,0.089285714,0.357142857
The Westin Tokyo,0.125,0.5,0.075,0.15,0.15
Tokiwa Hotel,0.125,0.3125,0.3125,0.03125,0.21875
