user_id,hotel_name,rating,price,near_station,restaurant,entertain,shopping_mall,convenience_store,trip_type,companion,star,district,destination
,ANA InterContinental Tokyo,3.4,0.294580085,0.160714286,0.357142857,0.053571429,0.071428571,0.357142857,business,family,5,Minato, Tokyo
,ANA InterContinental Tokyo,3.4,0.294580085,0.160714286,0.357142857,0.053571429,0.071428571,0.357142857,leisure,family,5,Minato, Tokyo
,APA Hotel - Higashishinjuku Kabukicho Higashi,3.4,0.039589808,0.1125,0.25,0.25,0.1375,0.25,business,solo,3,Shinjuku Ward, Tokyo
,APA Hotel - Higashishinjuku Kabukicho Higashi,3.4,0.101284757,0.1125,0.25,0.25,0.1375,0.25,leisure,family,3,Shinjuku Ward, Tokyo
,APA Hotel - Higashishinjuku Kabukicho Higashi,3.4,0.101284757,0.1125,0.25,0.25,0.1375,0.25,business,family,3,Shinjuku Ward, Tokyo
,APA Hotel Akihabara-Ekimae,3.4,0.034454103,0.058823529,0.235294118,0.235294118,0.235294118,0.235294118,business,solo,3,Chiyoda, Tokyo
,APA Hotel Akihabara-Ekimae,3.4,0.039589808,0.058823529,0.235294118,0.235294118,0.235294118,0.235294118,leisure,couple,3,Chiyoda, Tokyo
,APA Hotel Akihabara-Ekimae,3.4,0.090996726,0.058823529,0.235294118,0.235294118,0.235294118,0.235294118,leisure,friend,3,Chiyoda, Tokyo
,APA Hotel Asakusa Kuramae,3.4,0.024166071,0.235294118,0.392156863,0.019607843,0.039215686,0.31372549,leisure,solo,3,Taito, Tokyo
,APA Hotel Asakusa Kuramae,3.4,0.070437283,0.235294118,0.392156863,0.019607843,0.039215686,0.31372549,business,friend,3,Taito, Tokyo
,APA Hotel Asakusabashi-Ekikita,3.4,0.080725315,0.106382979,0.425531915,0.14893617,0.021276596,0.29787234,leisure,friend,3,Taito, Tokyo
,APA Hotel Asakusabashi-Ekikita,3.4,0.070437283,0.106382979,0.425531915,0.14893617,0.021276596,0.29787234,leisure,family,3,Taito, Tokyo
,APA Hotel Ginza Kyobashi,3.4,0.101284757,0.153846154,0.256410256,0.141025641,0.192307692,0.256410256,leisure,friend,3,Chuo Ward, Tokyo
,APA Hotel Ginza Kyobashi,3.4,0.039589808,0.153846154,0.256410256,0.141025641,0.192307692,0.256410256,leisure,solo,3,Chuo Ward, Tokyo
,APA Hotel Ginza-Takaracho,3.4,0.037013645,0.139240506,0.253164557,0.126582278,0.227848101,0.253164557,business,solo,3,Chuo Ward, Tokyo
,APA Hotel Ginza-Takaracho,3.4,0.093572889,0.139240506,0.253164557,0.126582278,0.227848101,0.253164557,leisure,family,3,Chuo Ward, Tokyo
,APA Hotel Ginza-Takaracho,3.4,0.093572889,0.139240506,0.253164557,0.126582278,0.227848101,0.253164557,business,family,3,Chuo Ward, Tokyo
,APA Hotel Ginza-Takaracho,3.4,0.044725514,0.139240506,0.253164557,0.126582278,0.227848101,0.253164557,leisure,couple,3,Chuo Ward, Tokyo
,APA Hotel Ginza-Takaracho,3.4,0.101284757,0.139240506,0.253164557,0.126582278,0.227848101,0.253164557,business,friend,3,Chuo Ward, Tokyo
,APA Hotel Hanzomon Hirakawacho,3.4,0.065301577,0.166666667,0.37037037,0.055555556,0.037037037,0.37037037,business,friend,3,Chiyoda, Tokyo
,APA Hotel Hanzomon Hirakawacho,3.4,0.065301577,0.166666667,0.37037037,0.055555556,0.037037037,0.37037037,leisure,friend,3,Chiyoda, Tokyo
,APA Hotel Hanzomon Hirakawacho,3.4,0.021606528,0.166666667,0.37037037,0.055555556,0.037037037,0.37037037,leisure,solo,3,Chiyoda, Tokyo
,APA Hotel Hanzomon Hirakawacho,3.4,0.021606528,0.166666667,0.37037037,0.055555556,0.037037037,0.37037037,business,solo,3,Chiyoda, Tokyo
,APA Hotel Hatchobori-eki Minami,3.4,0.070437283,0.276923077,0.307692308,0.061538462,0.046153846,0.307692308,business,friend,3,Chuo Ward, Tokyo
