user_id,hotel_name,rating_norm,price_norm,trip_type,companion
,128 Bangkok,2.6,0.04345556,leisure,solo
,128 Bangkok,2.6,0.04345556,business,solo
,130 Hotel & Residence Bangkok,4.2,0.052948855,leisure,friend
,130 Hotel & Residence Bangkok,4.2,0.024468969,business,couple
,130 Hotel & Residence Bangkok,4.2,0.024468969,leisure,couple
,130 Hotel & Residence Bangkok,4.2,0.052948855,business,friend
,14 Residence,2.6,0.017348997,leisure,family
,14 Residence,2.6,0.017348997,business,family
,14 Resort,2.6,0.029215616,business,family
,1989 Hostel & Cafe,4.2,0.100510265,leisure,solo
,1989 Hostel & Cafe,4.2,0.100510265,business,solo
,1sabai,4.2,0.002159725,business,solo
,1sabai,4.2,0.040132906,business,family
,1sabai,4.2,0.040132906,leisure,family
,2W Bed & Breakfast Bangkok,4.2,0.019722321,business,couple
,2W Bed & Breakfast Bangkok,4.2,0.019722321,leisure,couple
,2W Bed & Breakfast Bangkok,4.2,0.033962264,business,friend
,2W Bed & Breakfast Bangkok,4.2,0.005482378,leisure,solo
,2W Bed & Breakfast Bangkok,4.2,0.005482378,business,solo
,2W Bed & Breakfast Bangkok,4.2,0.033962264,leisure,friend
,38 Mansion,1.8,0.052948855,leisure,friend
,38 Mansion,1.8,0.052948855,business,friend
,39 Boulevard Executive Residence,2.6,0.098042008,leisure,family
,Abloom Exclusive Serviced Apartments,2.6,0.176361695,leisure,family
,Ac Habitat Bangkok,2.6,0.017348997,leisure,couple
,Ac Habitat Bangkok,2.6,0.017348997,business,couple
,Ad Lib,4.2,0.076990625,business,solo
,Ad Lib,4.2,0.157992168,leisure,family
,Adamaz House,2.6,0.040844903,leisure,family
,Adamaz House,2.6,0.040844903,business,family
,Adelphi Grande Sukhumvit by Compass Hospitality,2.6,0.086151655,business,family
,Adelphi Suites Bangkok,4.2,0.083208734,business,couple
,Adelphi Suites Bangkok,4.2,0.083208734,business,solo
,Adelphi Suites Bangkok,4.2,0.083208734,leisure,solo
,Aetas Bangkok,4.2,0.073311973,business,couple
,Aetas Bangkok,4.2,0.073311973,leisure,couple
,Aetas Lumpini,4.2,0.074427436,business,solo
,Aetas Lumpini,4.2,0.074427436,business,couple
,Aetas Lumpini,4.2,0.074427436,leisure,couple
,Aim House Bangkok,4.2,0.02162098,business,couple
,Aim House Bangkok,4.2,0.02162098,business,solo
,Aim House Bangkok,4.2,0.047252878,leisure,friend
,Aim House Bangkok,4.2,0.047252878,business,friend
,Aim House Bangkok,4.2,0.02162098,leisure,couple
,Akyra Thonglor Bangkok,2.6,0.003702385,business,friend
,Al Meroz Hotel Bangkok - The Leading Halal Hotel,4.2,0.162121752,leisure,family
,Al Meroz Hotel Bangkok - The Leading Halal Hotel,4.2,0.070748784,leisure,couple
,Al Meroz Hotel Bangkok - The Leading Halal Hotel,4.2,0.162121752,business,friend
,Aloft Bangkok - Sukhumvit 11,3.4,0.100723864,business,family
,Aloft Bangkok - Sukhumvit 11,3.4,0.100723864,leisure,family
,Amanta Hotel & Residence Ratchada,2.6,0.064815474,business,couple
,Amanta Hotel & Residence Ratchada,2.6,0.064815474,leisure,couple
,Amara Bangkok Hotel,4.2,0.075614098,business,solo
,Amara Bangkok Hotel,4.2,0.155215379,leisure,friend
,Amara Bangkok Hotel,4.2,0.075614098,leisure,couple
,Amara Bangkok Hotel,4.2,0.075614098,leisure,solo
,Amaranta Hotel,4.2,0.113468613,business,friend
,Amaranta Hotel,4.2,0.056508841,leisure,solo
,Amaranta Hotel,4.2,0.113468613,leisure,friend
,Amaranta Hotel,4.2,0.056508841,leisure,couple
,Amaranta Hotel,4.2,0.056508841,business,couple
,Amaranta Hotel,4.2,0.060068826,leisure,family
,Amaranta Hotel,4.2,0.060068826,business,family
,Amari Don Muang Airport,2.6,0.049056604,leisure,family
,Amari Residences Bangkok,2.6,0.183149401,leisure,family
,Amari Watergate Bangkok,4.2,0.088168981,business,couple
,Amari Watergate Bangkok,4.2,0.088168981,business,family
,Amari Watergate Bangkok,4.2,0.367509197,leisure,friend
,Amari Watergate Bangkok,4.2,0.088168981,leisure,couple
,Amarin Inn,2.6,0.012365017,leisure,family
,Amarin Inn,2.6,0.012365017,business,family
,Anantara Baan Rajprasong Bangkok Serviced Suites,4.2,0.123578972,leisure,couple
,Anantara Baan Rajprasong Bangkok Serviced Suites,4.2,0.123578972,business,couple
,Anantara Baan Rajprasong Bangkok Serviced Suites,4.2,0.251168862,leisure,friend
,Anantara Riverside Bangkok Resort,4.2,0.132170405,business,couple
,Anantara Sathorn Bangkok Hotel,3.4,0.060946956,leisure,couple
,Anantara Sathorn Bangkok Hotel,3.4,0.135042126,business,family
,Anantara Siam Bangkok Hotel,4.2,0.145271152,business,solo
,Anantara Siam Bangkok Hotel,4.2,0.403821051,leisure,friend
,Anantara Siam Bangkok Hotel,4.2,0.145271152,leisure,solo
,Anantara Siam Bangkok Hotel,4.2,0.403821051,business,friend
,Aphrodite Inn Bangkok,2.6,0.107630236,leisure,family
,Aphrodite Inn Bangkok,2.6,0.107630236,business,family
,Ariyasom Villa,4.2,0.152628456,business,couple
,Ariyasom Villa,4.2,0.152628456,business,solo
,Ariyasom Villa,4.2,0.152628456,leisure,solo
,Arte Hotel,4.2,0.067188798,business,family
,Arte Hotel,4.2,0.162121752,business,friend
,Ascott Sathorn Bangkok,4.2,0.123246707,business,family
,Ascott Sathorn Bangkok,4.2,0.085938056,leisure,couple
,Ascott Sathorn Bangkok,4.2,0.085938056,business,solo
,Ascott Sathorn Bangkok,4.2,0.085938056,leisure,solo
,Aspira D'Andora Sukhumvit 16,4.2,0.031565207,leisure,solo
,Aspira D'Andora Sukhumvit 16,4.2,0.031565207,business,solo
,Aspira G Sukhumvit 33,4.2,0.033321467,business,solo
,Aspira G Sukhumvit 33,4.2,0.070630117,business,family
,Aspira G Sukhumvit 33,4.2,0.033321467,leisure,solo
,Aspira G Sukhumvit 33,4.2,0.070630117,leisure,family
,Aspira G Sukhumvit 33,4.2,0.033321467,business,couple
,B.S. Court Hotel Sathorn,2.6,0.024468969,business,family
,BB Garden Resort,2.6,0.04250623,leisure,friend
,BB Garden Resort,2.6,0.04250623,business,friend
