user_id,hotel_name,rating,price,trip_type,companion,star,district,destination
,128 Bangkok,2.6,0.04345556,leisure,solo,No preference,Bangkok,0
,128 Bangkok,2.6,0.04345556,business,solo,No preference,Bangkok,0
,130 Hotel & Residence Bangkok,4.2,0.052948855,leisure,friend,4,Bangkok,0
,130 Hotel & Residence Bangkok,4.2,0.024468969,business,couple,4,Bangkok,0
,130 Hotel & Residence Bangkok,4.2,0.024468969,leisure,couple,4,Bangkok,0
,130 Hotel & Residence Bangkok,4.2,0.052948855,business,friend,4,Bangkok,0
,14 Residence,2.6,0.017348997,leisure,family,3,Bangkok,0
,14 Residence,2.6,0.017348997,business,family,3,Bangkok,0
,14 Resort,2.6,0.029215616,business,family,3,Bangkok,0
,1989 Hostel & Cafe,4.2,0.100510265,leisure,solo,No preference,Khlong Toei, Bangkok
,1989 Hostel & Cafe,4.2,0.100510265,business,solo,No preference,Khlong Toei, Bangkok
,1sabai,4.2,0.002159725,business,solo,No preference,Wattana, Bangkok
,1sabai,4.2,0.040132906,business,family,No preference,Wattana, Bangkok
,1sabai,4.2,0.040132906,leisure,family,No preference,Wattana, Bangkok
,2W Bed & Breakfast Bangkok,4.2,0.019722321,business,couple,No preference,Bangkok,0
,2W Bed & Breakfast Bangkok,4.2,0.019722321,leisure,couple,No preference,Bangkok,0
,2W Bed & Breakfast Bangkok,4.2,0.033962264,business,friend,No preference,Bangkok,0
,2W Bed & Breakfast Bangkok,4.2,0.005482378,leisure,solo,No preference,Bangkok,0
,2W Bed & Breakfast Bangkok,4.2,0.005482378,business,solo,No preference,Bangkok,0
,2W Bed & Breakfast Bangkok,4.2,0.033962264,leisure,friend,No preference,Bangkok,0
,38 Mansion,1.8,0.052948855,leisure,friend,2,Khlong Toei, Bangkok
,38 Mansion,1.8,0.052948855,business,friend,2,Khlong Toei, Bangkok
,39 Boulevard Executive Residence,2.6,0.098042008,leisure,family,4,Wattana, Bangkok
,Abloom Exclusive Serviced Apartments,2.6,0.176361695,leisure,family,4,Phaya Thai, Bangkok
,Ac Habitat Bangkok,2.6,0.017348997,leisure,couple,3,Bangkapi, Bangkok
,Ac Habitat Bangkok,2.6,0.017348997,business,couple,3,Bangkapi, Bangkok
,Ad Lib,4.2,0.076990625,business,solo,5,Wattana, Bangkok
,Ad Lib,4.2,0.157992168,leisure,family,5,Wattana, Bangkok
,Adamaz House,2.6,0.040844903,leisure,family,2,Bangkok,0
,Adamaz House,2.6,0.040844903,business,family,2,Bangkok,0
,Adelphi Grande Sukhumvit by Compass Hospitality,2.6,0.086151655,business,family,4,Wattana, Bangkok
,Adelphi Suites Bangkok,4.2,0.083208734,business,couple,4,Khlong Toei, Bangkok
,Adelphi Suites Bangkok,4.2,0.083208734,business,solo,4,Khlong Toei, Bangkok
,Adelphi Suites Bangkok,4.2,0.083208734,leisure,solo,4,Khlong Toei, Bangkok
,Aetas Bangkok,4.2,0.073311973,business,couple,5,Pathumwan, Bangkok
,Aetas Bangkok,4.2,0.073311973,leisure,couple,5,Pathumwan, Bangkok
,Aetas Lumpini,4.2,0.074427436,business,solo,5,Sathorn, Bangkok
,Aetas Lumpini,4.2,0.074427436,business,couple,5,Sathorn, Bangkok
,Aetas Lumpini,4.2,0.074427436,leisure,couple,5,Sathorn, Bangkok
,Aim House Bangkok,4.2,0.02162098,business,couple,3,Bangkok,0
,Aim House Bangkok,4.2,0.02162098,business,solo,3,Bangkok,0
,Aim House Bangkok,4.2,0.047252878,leisure,friend,3,Bangkok,0
,Aim House Bangkok,4.2,0.047252878,business,friend,3,Bangkok,0
,Aim House Bangkok,4.2,0.02162098,leisure,couple,3,Bangkok,0
,Akyra Thonglor Bangkok,2.6,0.003702385,business,friend,5,Wattana, Bangkok
,Al Meroz Hotel Bangkok - The Leading Halal Hotel,4.2,0.162121752,leisure,family,5,Bangkok,0
,Al Meroz Hotel Bangkok - The Leading Halal Hotel,4.2,0.070748784,leisure,couple,5,Bangkok,0
,Al Meroz Hotel Bangkok - The Leading Halal Hotel,4.2,0.162121752,business,friend,5,Bangkok,0
,Aloft Bangkok - Sukhumvit 11,3.4,0.100723864,business,family,4,Wattana, Bangkok
,Aloft Bangkok - Sukhumvit 11,3.4,0.100723864,leisure,family,4,Wattana, Bangkok
,Amanta Hotel & Residence Ratchada,2.6,0.064815474,business,couple,4,Din Daeng, Bangkok
,Amanta Hotel & Residence Ratchada,2.6,0.064815474,leisure,couple,4,Din Daeng, Bangkok
,Amara Bangkok Hotel,4.2,0.075614098,business,solo,5,Bang Rak, Bangkok
,Amara Bangkok Hotel,4.2,0.155215379,leisure,friend,5,Bang Rak, Bangkok
,Amara Bangkok Hotel,4.2,0.075614098,leisure,couple,5,Bang Rak, Bangkok
,Amara Bangkok Hotel,4.2,0.075614098,leisure,solo,5,Bang Rak, Bangkok
,Amaranta Hotel,4.2,0.113468613,business,friend,4,Huai Khwang, Bangkok
,Amaranta Hotel,4.2,0.056508841,leisure,solo,4,Huai Khwang, Bangkok
,Amaranta Hotel,4.2,0.113468613,leisure,friend,4,Huai Khwang, Bangkok
,Amaranta Hotel,4.2,0.056508841,leisure,couple,4,Huai Khwang, Bangkok
,Amaranta Hotel,4.2,0.056508841,business,couple,4,Huai Khwang, Bangkok
,Amaranta Hotel,4.2,0.060068826,leisure,family,4,Huai Khwang, Bangkok
,Amaranta Hotel,4.2,0.060068826,business,family,4,Huai Khwang, Bangkok
,Amari Don Muang Airport,2.6,0.049056604,leisure,family,4,Donmuang, Bangkok
,Amari Residences Bangkok,2.6,0.183149401,leisure,family,4,Huai Khwang, Bangkok
,Amari Watergate Bangkok,4.2,0.088168981,business,couple,5,Pathumwan, Bangkok
,Amari Watergate Bangkok,4.2,0.088168981,business,family,5,Pathumwan, Bangkok
,Amari Watergate Bangkok,4.2,0.367509197,leisure,friend,5,Pathumwan, Bangkok
,Amari Watergate Bangkok,4.2,0.088168981,leisure,couple,5,Pathumwan, Bangkok
,Amarin Inn,2.6,0.012365017,leisure,family,1,Bangkok,0
,Amarin Inn,2.6,0.012365017,business,family,1,Bangkok,0
,Anantara Baan Rajprasong Bangkok Serviced Suites,4.2,0.123578972,leisure,couple,5,Pathumwan, Bangkok
,Anantara Baan Rajprasong Bangkok Serviced Suites,4.2,0.123578972,business,couple,5,Pathumwan, Bangkok
,Anantara Baan Rajprasong Bangkok Serviced Suites,4.2,0.251168862,leisure,friend,5,Pathumwan, Bangkok
,Anantara Riverside Bangkok Resort,4.2,0.132170405,business,couple,5,Thonburi, Bangkok
,Anantara Sathorn Bangkok Hotel,3.4,0.060946956,leisure,couple,5,Sathorn, Bangkok
,Anantara Sathorn Bangkok Hotel,3.4,0.135042126,business,family,5,Sathorn, Bangkok
,Anantara Siam Bangkok Hotel,4.2,0.145271152,business,solo,5,Pathumwan, Bangkok
,Anantara Siam Bangkok Hotel,4.2,0.403821051,leisure,friend,5,Pathumwan, Bangkok
,Anantara Siam Bangkok Hotel,4.2,0.145271152,leisure,solo,5,Pathumwan, Bangkok
,Anantara Siam Bangkok Hotel,4.2,0.403821051,business,friend,5,Pathumwan, Bangkok
,Aphrodite Inn Bangkok,2.6,0.107630236,leisure,family,3,Pathumwan, Bangkok
,Aphrodite Inn Bangkok,2.6,0.107630236,business,family,3,Pathumwan, Bangkok
,Ariyasom Villa,4.2,0.152628456,business,couple,4,Wattana, Bangkok
,Ariyasom Villa,4.2,0.152628456,business,solo,4,Wattana, Bangkok
,Ariyasom Villa,4.2,0.152628456,leisure,solo,4,Wattana, Bangkok
,Arte Hotel,4.2,0.067188798,business,family,4,Wattana, Bangkok
,Arte Hotel,4.2,0.162121752,business,friend,4,Wattana, Bangkok
,Ascott Sathorn Bangkok,4.2,0.123246707,business,family,5,Sathorn, Bangkok
,Ascott Sathorn Bangkok,4.2,0.085938056,leisure,couple,5,Sathorn, Bangkok
,Ascott Sathorn Bangkok,4.2,0.085938056,business,solo,5,Sathorn, Bangkok
,Ascott Sathorn Bangkok,4.2,0.085938056,leisure,solo,5,Sathorn, Bangkok
,Aspira D'Andora Sukhumvit 16,4.2,0.031565207,leisure,solo,3,Khlong Toei, Bangkok
,Aspira D'Andora Sukhumvit 16,4.2,0.031565207,business,solo,3,Khlong Toei, Bangkok
,Aspira G Sukhumvit 33,4.2,0.033321467,business,solo,3,Wattana, Bangkok
,Aspira G Sukhumvit 33,4.2,0.070630117,business,family,3,Wattana, Bangkok
