user_id,hotel_name,rating,price,trip_type,companion,star,district,destination
,5footway.inn Project Ann Siang,4,0.008646241,leisure,solo,2,Chinatown, Singapore
,5footway.inn Project Ann Siang,4,0.008646241,business,solo,2,Chinatown, Singapore
,5footway.inn Project Boat Quay,3,0.042985573,business,family,1,Boat Quay, Singapore
,5footway.inn Project Boat Quay,3,0.045392765,business,friend,1,Boat Quay, Singapore
,5footway.inn Project Boat Quay,3,0.007041446,leisure,solo,1,Boat Quay, Singapore
,5footway.inn Project Boat Quay,3,0.042985573,leisure,family,1,Boat Quay, Singapore
,5footway.inn Project Boat Quay,3,0.045392765,leisure,friend,1,Boat Quay, Singapore
,5footway.inn Project Boat Quay,3,0.007041446,business,solo,1,Boat Quay, Singapore
,5footway.inn Project Chinatown 1,3,0.006239049,leisure,solo,1,Chinatown, Singapore
,5footway.inn Project Chinatown 1,3,0.042952822,business,family,1,Chinatown, Singapore
,5footway.inn Project Chinatown 1,3,0.006239049,business,solo,1,Chinatown, Singapore
,5footway.inn Project Chinatown 2,3,0.042985573,business,family,1,Chinatown, Singapore
,60s hostel,4,0.059688539,business,couple,1,Lavender, Singapore
,60s hostel,4,0.059688539,leisure,couple,1,Lavender, Singapore
,7 Wonders Boutique Capsule,4,0.121014623,leisure,family,2,Lavender, Singapore
,7 Wonders Boutique Capsule,4,0.005764161,leisure,solo,2,Lavender, Singapore
,7 Wonders Boutique Capsule,4,0.121014623,business,family,2,Lavender, Singapore
,85 Beach Garden Hotel,3,0.027183258,business,family,2,Singapore,0
,85 Beach Garden Hotel,3,0.025955098,business,couple,2,Singapore,0
,85 Beach Garden Hotel,3,0.025955098,leisure,solo,2,Singapore,0
,85 Beach Garden Hotel,3,0.025955098,business,solo,2,Singapore,0
,85 Beach Garden Hotel,3,0.025955098,leisure,couple,2,Singapore,0
,ABC Premium Hostel,4,0.018799024,leisure,couple,1,Singapore,0
,ABC Premium Hostel,4,0.018799024,business,couple,1,Singapore,0
,ABC Premium Hostel,4,0.004486875,leisure,solo,1,Singapore,0
,ABC Premium Hostel,4,0.004486875,business,solo,1,Singapore,0
,AMOY by Far East Hospitality,5,0.215042494,business,friend,4,Marina Bay, Singapore
,AMOY by Far East Hospitality,5,0.215042494,leisure,friend,4,Marina Bay, Singapore
,Adamson Inn,4,0.009808898,business,solo,1,Kampong Glam, Singapore
,Adamson Inn,4,0.049453879,business,family,1,Kampong Glam, Singapore
,Adamson Inn,4,0.009808898,leisure,solo,1,Kampong Glam, Singapore
,Aljunied@SG,3,0.018799024,business,couple,1,Singapore,0
,Aljunied@SG,3,0.030654855,leisure,friend,1,Singapore,0
,Aljunied@SG,3,0.018799024,leisure,couple,1,Singapore,0
,Amara Sanctuary Resort Sentosa,3.5,0.180293776,business,family,5,Sentosa Island, Singapore
,Amara Sanctuary Resort Sentosa,3.5,0.095861922,business,couple,5,Sentosa Island, Singapore
,Amara Sanctuary Resort Sentosa,3.5,0.180293776,leisure,family,5,Sentosa Island, Singapore
