user_id,hotel_name,rating,price,trip_type,companion
,ANA InterContinental Tokyo,3.4,0.294580085,business,family
,ANA InterContinental Tokyo,3.4,0.294580085,leisure,family
,APA Hotel - Higashishinjuku Kabukicho Higashi,3.4,0.039589808,business,solo
,APA Hotel - Higashishinjuku Kabukicho Higashi,3.4,0.101284757,leisure,family
,APA Hotel - Higashishinjuku Kabukicho Higashi,3.4,0.101284757,business,family
,APA Hotel Akihabara-Ekimae,3.4,0.034454103,business,solo
,APA Hotel Akihabara-Ekimae,3.4,0.039589808,leisure,couple
,APA Hotel Akihabara-Ekimae,3.4,0.090996726,leisure,friend
,APA Hotel Asakusa Kuramae,3.4,0.024166071,leisure,solo
,APA Hotel Asakusa Kuramae,3.4,0.070437283,business,friend
,APA Hotel Asakusabashi-Ekikita,3.4,0.080725315,leisure,friend
,APA Hotel Asakusabashi-Ekikita,3.4,0.070437283,leisure,family
,APA Hotel Ginza Kyobashi,3.4,0.101284757,leisure,friend
,APA Hotel Ginza Kyobashi,3.4,0.039589808,leisure,solo
,APA Hotel Ginza-Takaracho,3.4,0.037013645,business,solo
,APA Hotel Ginza-Takaracho,3.4,0.093572889,leisure,family
,APA Hotel Ginza-Takaracho,3.4,0.093572889,business,family
,APA Hotel Ginza-Takaracho,3.4,0.044725514,leisure,couple
,APA Hotel Ginza-Takaracho,3.4,0.101284757,business,friend
,APA Hotel Hanzomon Hirakawacho,3.4,0.065301577,business,friend
,APA Hotel Hanzomon Hirakawacho,3.4,0.065301577,leisure,friend
,APA Hotel Hanzomon Hirakawacho,3.4,0.021606528,leisure,solo
,APA Hotel Hanzomon Hirakawacho,3.4,0.021606528,business,solo
,APA Hotel Hatchobori-eki Minami,3.4,0.070437283,business,friend
,APA Hotel Higashi Shinjuku Kabukicho,3.4,0.034454103,leisure,solo
,APA Hotel Higashi Shinjuku Kabukicho,3.4,0.039589808,leisure,couple
,APA Hotel Higashi Shinjuku Kabukicho,3.4,0.090996726,business,friend
,APA Hotel Iidabashi Ekimae,3.4,0.070437283,leisure,family
