user_id,hotel_name,rating,price,trip_type,companion,star,district,destination
,ANA InterContinental Tokyo,3.4,0.294580085,business,family,5,Minato, Tokyo
,ANA InterContinental Tokyo,3.4,0.294580085,leisure,family,5,Minato, Tokyo
,APA Hotel - Higashishinjuku Kabukicho Higashi,3.4,0.039589808,business,solo,3,Shinjuku Ward, Tokyo
,APA Hotel - Higashishinjuku Kabukicho Higashi,3.4,0.101284757,leisure,family,3,Shinjuku Ward, Tokyo
,APA Hotel - Higashishinjuku Kabukicho Higashi,3.4,0.101284757,business,family,3,Shinjuku Ward, Tokyo
,APA Hotel Akihabara-Ekimae,3.4,0.034454103,business,solo,3,Chiyoda, Tokyo
,APA Hotel Akihabara-Ekimae,3.4,0.039589808,leisure,couple,3,Chiyoda, Tokyo
,APA Hotel Akihabara-Ekimae,3.4,0.090996726,leisure,friend,3,Chiyoda, Tokyo
,APA Hotel Asakusa Kuramae,3.4,0.024166071,leisure,solo,3,Taito, Tokyo
,APA Hotel Asakusa Kuramae,3.4,0.070437283,business,friend,3,Taito, Tokyo
,APA Hotel Asakusabashi-Ekikita,3.4,0.080725315,leisure,friend,3,Taito, Tokyo
,APA Hotel Asakusabashi-Ekikita,3.4,0.070437283,leisure,family,3,Taito, Tokyo
,APA Hotel Ginza Kyobashi,3.4,0.101284757,leisure,friend,3,Chuo Ward, Tokyo
,APA Hotel Ginza Kyobashi,3.4,0.039589808,leisure,solo,3,Chuo Ward, Tokyo
,APA Hotel Ginza-Takaracho,3.4,0.037013645,business,solo,3,Chuo Ward, Tokyo
,APA Hotel Ginza-Takaracho,3.4,0.093572889,leisure,family,3,Chuo Ward, Tokyo
,APA Hotel Ginza-Takaracho,3.4,0.093572889,business,family,3,Chuo Ward, Tokyo
,APA Hotel Ginza-Takaracho,3.4,0.044725514,leisure,couple,3,Chuo Ward, Tokyo
,APA Hotel Ginza-Takaracho,3.4,0.101284757,business,friend,3,Chuo Ward, Tokyo
,APA Hotel Hanzomon Hirakawacho,3.4,0.065301577,business,friend,3,Chiyoda, Tokyo
,APA Hotel Hanzomon Hirakawacho,3.4,0.065301577,leisure,friend,3,Chiyoda, Tokyo
,APA Hotel Hanzomon Hirakawacho,3.4,0.021606528,leisure,solo,3,Chiyoda, Tokyo
,APA Hotel Hanzomon Hirakawacho,3.4,0.021606528,business,solo,3,Chiyoda, Tokyo
,APA Hotel Hatchobori-eki Minami,3.4,0.070437283,business,friend,3,Chuo Ward, Tokyo
,APA Hotel Higashi Shinjuku Kabukicho,3.4,0.034454103,leisure,solo,3,Shinjuku Ward, Tokyo
,APA Hotel Higashi Shinjuku Kabukicho,3.4,0.039589808,leisure,couple,3,Shinjuku Ward, Tokyo
,APA Hotel Higashi Shinjuku Kabukicho,3.4,0.090996726,business,friend,3,Shinjuku Ward, Tokyo
,APA Hotel Iidabashi Ekimae,3.4,0.070437283,leisure,family,3,Chiyoda, Tokyo
,APA Hotel Iidabashi Ekimae,3.4,0.070437283,business,family,3,Chiyoda, Tokyo
,APA Hotel Kanda Jimbocho Ekihigashi,3.4,0.070437283,leisure,friend,3,Chiyoda, Tokyo
